timestamp,zone,temperature,humidity,air_quality,light_level,vent_open_ratio,vent_state,scenario
2026-04-01 06:00:00,Lobby,22.95,48.42,683.56,484.15,0.34,Partially Open,normal
2026-04-01 06:00:00,Gym,25.34,63.25,1270.02,577.17,0.02,Closed,ventilation_failure
2026-04-01 06:00:00,Co-working Space,23.24,44.07,1302.34,531.39,0.21,Partially Open,poor_air_quality
2026-04-01 06:00:00,Corridor,14.46,46.04,704.43,152.33,0.22,Partially Open,sensor_fault
2026-04-01 06:00:00,Rooftop Lounge,23.3,49.16,642.75,646.33,0.48,Open,normal
2026-04-01 06:10:00,Lobby,22.9,46.12,683.79,515.24,0.42,Partially Open,normal
2026-04-01 06:10:00,Gym,24.9,65.1,1305.29,593.22,0.02,Closed,ventilation_failure
2026-04-01 06:10:00,Co-working Space,23.12,42.32,1330.67,520.24,0.37,Partially Open,poor_air_quality
2026-04-01 06:10:00,Corridor,14.04,44.48,681.15,133.44,0.17,Partially Open,sensor_fault
2026-04-01 06:10:00,Rooftop Lounge,23.5,50.56,661.37,626.37,0.64,Open,normal
2026-04-01 06:20:00,Lobby,23.12,45.99,695.53,480.72,0.45,Partially Open,normal
2026-04-01 06:20:00,Gym,24.99,62.87,1269.61,599.01,0.02,Closed,ventilation_failure
2026-04-01 06:20:00,Co-working Space,23.03,45.14,1303.33,554.84,0.24,Partially Open,poor_air_quality
2026-04-01 06:20:00,Corridor,30.78,46.7,720.96,159.45,0.22,Partially Open,sensor_fault
2026-04-01 06:20:00,Rooftop Lounge,23.53,47.62,621.74,632.31,0.63,Open,normal
2026-04-01 06:30:00,Lobby,23.11,46.03,688.19,480.38,0.42,Partially Open,normal
2026-04-01 06:30:00,Gym,25.05,64.45,1257.6,577.28,0.02,Closed,ventilation_failure
2026-04-01 06:30:00,Co-working Space,22.87,45.2,1331.56,520.58,0.29,Partially Open,poor_air_quality
2026-04-01 06:30:00,Corridor,14.15,44.04,719.67,617.2,0.12,Partially Open,sensor_fault
2026-04-01 06:30:00,Rooftop Lounge,23.22,49.05,658.42,646.53,0.63,Open,normal
2026-04-01 06:40:00,Lobby,22.81,46.29,721.65,484.7,0.33,Partially Open,normal
2026-04-01 06:40:00,Gym,25.32,65.39,1302.06,595.81,0.02,Closed,ventilation_failure
2026-04-01 06:40:00,Co-working Space,23.02,43.2,1288.54,520.44,0.26,Partially Open,poor_air_quality
2026-04-01 06:40:00,Corridor,30.89,45.78,694.36,131.18,0.14,Partially Open,sensor_fault
2026-04-01 06:40:00,Rooftop Lounge,23.41,50.14,657.03,629.19,0.59,Open,normal
2026-04-01 06:50:00,Lobby,23.06,48.32,711.1,507.18,0.27,Partially Open,normal
2026-04-01 06:50:00,Gym,25.34,66.22,1316.22,592.0,0.02,Closed,ventilation_failure
2026-04-01 06:50:00,Co-working Space,23.13,45.54,1334.98,552.53,0.35,Partially Open,poor_air_quality
2026-04-01 06:50:00,Corridor,30.66,44.8,724.25,144.01,0.1,Closed,sensor_fault
